Count,Status,Service,Message
"≈320K","info","ix-virtual-load-tester","[Accepting [wildcard]*[/wildcard] interaction, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel [wildcard]*[/wildcard], interactionType: CALLED engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈320K","info","ix-virtual-load-tester","[Delete interactionID: [wildcard]*[/wildcard], messageId: [wildcard]*[/wildcard] for[wildcard]*[/wildcard]@[wildcard]*[/wildcard], current activeCard count: [wildcard][0-2][/wildcard]]"
"≈250K","info","ix-virtual-load-tester","[New interaction. State: ALERTING. Transfer type: NONE, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][[wildcard]*[/wildcard]], channel [wildcard]*[/wildcard], interactionType: [wildcard]*[/wildcard] engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈250K","info","user-service","AccountId [wildcard]*[/wildcard], waiting for jobId [wildcard]*[/wildcard] to be completed, inprogressUserCount [wildcard][0-4][/wildcard] sleepTime [wildcard][0-4000][/wildcard]"
"≈230K","info","vrc-availability-service","messageReceived, received [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] event value=[{""timestamp"": ""[wildcard]yyyy-MM-ddTHH:mm:ss.SSSXXX[/wildcard]"", ""agentId"": ""[wildcard]*[/wildcard]"", ""accountId"": ""[wildcard]*[/wildcard]""}][wildcard]*[/wildcard]"
"≈210K","info","ix-virtual-load-tester","[Received [wildcard]*[/wildcard], will reply with text, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel [wildcard]*[/wildcard], interactionType: [wildcard]*[/wildcard] engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈190K","info","vrc-metrics-service","consumePumpupRecords, [wildcard]*[/wildcard] message current record offset [wildcard][287-185708][/wildcard]"
"≈190K","info","ix-virtual-load-tester","[Successfully called UC3 connect callback, status: 200, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel VOICE, interactionType: CALLED engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈190K","info","ix-virtual-load-tester","[ACW detected, but ACW handling is disabled., agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][[wildcard]*[/wildcard]], channel VOICE, interactionType: CALLED engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈190K","info","ix-virtual-load-tester","[VOICE interaction to be ended by agent after [wildcard][300-480][/wildcard]s, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel VOICE, interactionType: CALLED engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈160K","warn","ix-virtual-load-tester","[All channel resource states for agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard]are NOT in a READY state, agent SDK state: READY, {VOICE=AFTER_CONTACT_WORK}]"
"≈160K","info","vrc-rona-service","consumeRecords, Notifying message listeners of [[wildcard]*[/wildcard]] event, topic: [[wildcard]*[/wildcard]], offset:[[wildcard][197-63835][/wildcard]], key: [[wildcard]*[/wildcard]], value: [wildcard]*[/wildcard]"
"≈150K","info","ix-virtual-load-tester","[Ending interaction is CANCELLED because interaction no longer exists, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel VOICE, interactionType: CALLED engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈140K","info","ix-virtual-load-tester","[Ending [wildcard]*[/wildcard] interaction, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][[wildcard]*[/wildcard]], channel [wildcard]*[/wildcard], interactionType: [wildcard]*[/wildcard] engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈130K","info","vrc-metrics-service","methodName:processAgentDeletedEvent - Received AgentDeletedEvent: {""timestamp"": ""[wildcard]*[/wildcard]"", ""agentId"": ""[wildcard]*[/wildcard]"", ""accountId"": ""[wildcard]*[/wildcard]""}"
"≈120K","info","vrc-agent-service","deleteAdminAgent, removed the AdminAgent from cache [null]"
"≈120K","info","ix-virtual-load-tester","[Replying with MESSAGING message, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel MESSAGING, interactionType: [wildcard]*[/wildcard] engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈120K","warn","vrc-metrics-service","methodName:processAgentDeletedEvent - Agent [wildcard]*[/wildcard] not found in admin cache, no further processing"
"≈120K","info","vrc-agent-service","consumeRecords, Notifying message listeners of [[wildcard]*[/wildcard]] event, topic: [[wildcard]*[/wildcard]], offset:[[wildcard][249-63639][/wildcard]], key: [[wildcard]*[/wildcard]], value: [wildcard]*[/wildcard]"
"≈120K","info","ix-virtual-load-tester","[Sending WEBCHAT message, agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel WEBCHAT, interactionType: [wildcard]*[/wildcard] engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈110K","info","ix-virtual-load-tester","[media.sendRichMedia for MESSAGING invoked from agent with payload: '{""asyncMessageInfo"":{""message"":{""text"":""[wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard][wildcard]*[/wildcard]""}}}', agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel MESSAGING, interactionType: [wildcard]*[/wildcard] engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈100K","info","vrc-availability-service","consumeRecords, Notifying message listeners of [AgentDeleted] event, topic: [[wildcard]*[/wildcard]], offset:[[wildcard][243-64666][/wildcard]], key: [[wildcard]*[/wildcard]], value: {""timestamp"": ""[wildcard]yyyy-MM-ddTHH:mm:ss.SSSXXX[/wildcard]"", ""agentId"": ""[wildcard]*[/wildcard]"", ""accountId"": ""[wildcard]*[/wildcard]""}"
"≈100K","info","ix-virtual-load-tester","[Receiving data of screen pops configured, interactionChannel: [wildcard]*[/wildcard]]"
"≈100K","info","ix-virtual-load-tester","[media.send message invoked with payload: '[wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard] [wildcard]*[/wildcard][wildcard]*[/wildcard]', agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard][READY], channel WEBCHAT, interactionType: [wildcard]*[/wildcard] engagementId: [wildcard]*[/wildcard], interactionId: [wildcard]*[/wildcard], dialogId [wildcard]*[/wildcard]]"
"≈100K","warn","vrc-rona-service","Invalid value as ReasonCode {""timestamp"": ""[wildcard]yyyy-MM-ddTHH:mm:ss.SSSXXX[/wildcard]"", ""agentId"": ""[wildcard]*[/wildcard]"", ""accountId"": ""[wildcard]*[/wildcard]""} in the ConsumerRecord"
"≈100K","info","outbound-contacts-api","[wildcard]yyyy-MM-dd HH:mm:ss.SSS[/wildcard] [INFO ] [[wildcard]*[/wildcard]] com.avaya.outbound.contact.api.controller.ContactController -- getContactsCountByName -- Account Id: GZJLCF - Contacts count of: [wildcard]*[/wildcard] ContactList fetched successfully."
"≈80K","info","ix-virtual-load-tester","[Choose random disposition code for agent:[wildcard]*[/wildcard]@[wildcard]*[/wildcard], interaction-id: [wildcard]*[/wildcard]]"
